,as_of_date,variable_id_1,variable_id_2,calculation_date,value
0,2021-01-01,id_1,id_1,2021-03-31,
1,2021-01-04,id_1,id_1,2021-03-31,
2,2021-01-05,id_1,id_1,2021-03-31,
3,2021-01-06,id_1,id_1,2021-03-31,
4,2021-01-07,id_1,id_1,2021-03-31,
5,2021-01-08,id_1,id_1,2021-03-31,1.0
6,2021-01-11,id_1,id_1,2021-03-31,1.0000000000000002
7,2021-01-12,id_1,id_1,2021-03-31,1.0
8,2021-01-13,id_1,id_1,2021-03-31,1.0
9,2021-01-14,id_1,id_1,2021-03-31,1.0
10,2021-01-15,id_1,id_1,2021-03-31,1.0
11,2021-01-18,id_1,id_1,2021-03-31,1.0
12,2021-01-19,id_1,id_1,2021-03-31,1.0000000000000002
13,2021-01-20,id_1,id_1,2021-03-31,1.0000000000000002
14,2021-01-21,id_1,id_1,2021-03-31,1.0
15,2021-01-22,id_1,id_1,2021-03-31,1.0
16,2021-01-25,id_1,id_1,2021-03-31,0.9999999999999999
17,2021-01-26,id_1,id_1,2021-03-31,1.0
18,2021-01-27,id_1,id_1,2021-03-31,1.0000000000000002
19,2021-01-28,id_1,id_1,2021-03-31,1.0000000000000007
20,2021-01-29,id_1,id_1,2021-03-31,1.0000000000000002
21,2021-02-01,id_1,id_1,2021-03-31,1.0000000000000002
22,2021-02-02,id_1,id_1,2021-03-31,1.0000000000000007
23,2021-02-03,id_1,id_1,2021-03-31,1.0000000000000002
24,2021-02-04,id_1,id_1,2021-03-31,1.0000000000000004
25,2021-02-05,id_1,id_1,2021-03-31,1.0000000000000007
26,2021-02-08,id_1,id_1,2021-03-31,1.0000000000000007
27,2021-02-09,id_1,id_1,2021-03-31,1.0000000000000007
28,2021-02-10,id_1,id_1,2021-03-31,1.0000000000000007
29,2021-02-11,id_1,id_1,2021-03-31,1.0000000000000013
30,2021-02-12,id_1,id_1,2021-03-31,1.000000000000002
31,2021-02-15,id_1,id_1,2021-03-31,1.0000000000000007
32,2021-02-16,id_1,id_1,2021-03-31,1.0000000000000004
33,2021-02-17,id_1,id_1,2021-03-31,1.0000000000000004
34,2021-02-18,id_1,id_1,2021-03-31,1.0000000000000004
35,2021-02-19,id_1,id_1,2021-03-31,1.0000000000000007
36,2021-02-22,id_1,id_1,2021-03-31,1.0000000000000004
37,2021-02-23,id_1,id_1,2021-03-31,1.0000000000000016
38,2021-02-24,id_1,id_1,2021-03-31,1.0000000000000004
39,2021-02-25,id_1,id_1,2021-03-31,1.0000000000000007
40,2021-02-26,id_1,id_1,2021-03-31,1.0
